 # Number of iterations in MCMC :        90000
 # Weight   -ln(L/L_{max})    omega_b    omega_cdm    n_s    A_s    H0    m_ncdm    MG_beta2 
          20   79712.009376970411       1.96962039917707443E-002  0.11318992823362350       0.96830236911773682       2.19831864793828158E-009   65.054412841796875       1.19139510206878185E-003  0.55584216117858887     
           9   79711.865637387629       1.96954254060983658E-002  0.11318914592266083       0.96830129623413086       2.19831026203414130E-009   65.053901672363281       1.17339636199176311E-003  0.55534374713897705     
          23   79712.766989341471       1.96950417011976242E-002  0.11318657547235489       0.96830558776855469       2.19834170933961503E-009   65.053230285644531       1.18204636964946985E-003  0.55497503280639648     
           1   79712.761807162547       1.96936577558517456E-002  0.11318481713533401       0.96830022335052490       2.19835324013100382E-009   65.052322387695313       1.14423932973295450E-003  0.55474388599395752     
          25   79713.216039728068       1.96934733539819717E-002  0.11318424344062805       0.96830379962921143       2.19833437159476744E-009   65.052146911621094       1.14372360985726118E-003  0.55452859401702881     
           7   79714.177363905677       1.96933578699827194E-002  0.11318320780992508       0.96831274032592773       2.19828562862573085E-009   65.051933288574219       1.14147423300892115E-003  0.55461138486862183     
          12   79715.335524293288       1.96949671953916550E-002  0.11318404972553253       0.96832251548767090       2.19826990531788095E-009   65.053024291992188       1.18370517157018185E-003  0.55423140525817871     
           3   79713.046829462241       1.96943935006856918E-002  0.11318600177764893       0.96830600500106812       2.19830502086029821E-009   65.053100585937500       1.14906544331461191E-003  0.55292415618896484     
           8   79715.771224509008       1.96928698569536209E-002  0.11318246275186539       0.96831673383712769       2.19832546150895056E-009   65.052215576171875       1.21060688979923725E-003  0.55220568180084229     
           7   79716.606667575383       1.96919422596693039E-002  0.11317978054285049       0.96832019090652466       2.19831078615221267E-009   65.051132202148438       1.18056358769536018E-003  0.55202621221542358     
           2   79716.029949997639       1.96939557790756226E-002  0.11318373680114746       0.96832001209259033       2.19830764144565804E-009   65.053009033203125       1.22309930156916380E-003  0.55281460285186768     
           2   79716.921905429612       1.96952521800994873E-002  0.11318489909172058       0.96832555532455444       2.19829191798036009E-009   65.054161071777344       1.24922674149274826E-003  0.55279219150543213     
           1   79716.008008713849       1.96950491517782211E-002  0.11318484693765640       0.96832334995269775       2.19830082793022073E-009   65.053756713867188       1.24146649613976479E-003  0.55341958999633789     
           1   79717.321727646078       1.96953881531953812E-002  0.11318364739418030       0.96833282709121704       2.19825470622719327E-009   65.053573608398438       1.23503140639513731E-003  0.55413025617599487     
